,Location,Year,Date,Event,Round,Heat,Rank,Athlete,Country,UCI_ID,Age,Initial_CSE,Final_CSE,Mu,Sigma,ExpectedRank,RatingChange
44,Astana,2012,5/11/2011,WC,Rep,4,1,HAAK_Hugo,NED_,10006900320,20,14.16,20.091,29.031,4.47,2,
45,Astana,2012,5/11/2011,WC,Rep,4,2,NAKAGAWA_Seiichiro,JPN_,10002830360,32.4,9.87,15.414,23.77,4.178,3,
46,Astana,2012,5/11/2011,WC,Rep,4,3,TEKLINSKI_Adrian,POL,10005364585,22,3.365,10.706,19.354,4.324,4,
47,Astana,2012,5/11/2011,WC,Rep,4,4,WÄCHTER_Tobias,GER,10036244537,23.3,17.986,13.408,21.752,4.172,1,
48,Astana,2012,5/11/2011,WC,Rep,4,5,AUDI_Raja,LIB,10006107748,32,2.749,1.572,11.494,4.961,5,
49,Astana,2012,5/11/2011,WC,Rep,5,1,D'ALMEIDA_Michael,FRA,10004618796,24.2,9.87,18.861,27.709,4.424,3,
50,Astana,2012,5/11/2011,WC,Rep,5,2,CANELON_VERA_Hersony_Gadiel,VEN,10004717719,22.9,19.603,19.893,28.241,4.174,1,
51,Astana,2012,5/11/2011,WC,Rep,5,3,KENNY_Jason,GBR,10004599194,23.6,8.945,12.389,20.749,4.18,4,
52,Astana,2012,5/11/2011,WC,Rep,5,4,VELOCE_Joseph,CAN_,10006105930,22.5,14.16,10.721,19.545,4.412,2,
53,Astana,2012,5/11/2011,WC,Rep,6,1,"NG_Onn_Lam,_Josiah",MAS_,10055651813,,8.945,18.161,26.647,4.243,4,
54,Astana,2012,5/11/2011,WC,Rep,6,2,ŠPIČKA_Denis,CZE_,10004723476,23.2,12.906,17.323,25.315,3.996,3,
55,Astana,2012,5/11/2011,WC,Rep,6,3,AWANG_Mohd_Azizulhasni,MAS,10004868370,23.8,19.603,17.663,25.807,4.072,1,
56,Astana,2012,5/11/2011,WC,Rep,6,4,PHILLIP_Njisane,TTO,10006898401,20.4,14.16,11.517,20.319,4.401,2,
57,Astana,2012,5/11/2011,WC,R2,1,1,"NG_Onn_Lam,_Josiah",MAS_,10055651813,,18.161,25.842,32.836,3.497,6,
58,Astana,2012,5/11/2011,WC,R2,1,2,BORISOV_Sergei,RUS,10002558558,28.8,23.343,27.28,35.416,4.068,1,
59,Astana,2012,5/11/2011,WC,R2,1,3,HAAK_Hugo,NED_,10006900320,20,20.091,23.811,30.745,3.467,5,
60,Astana,2012,5/11/2011,WC,R2,1,4,MAZQUIARAN_URIA_Hodei,ESP_,10004613039,22.9,22.204,23.211,30.431,3.61,2,
61,Astana,2012,5/11/2011,WC,R2,1,5,BÖTTICHER_Stefan,GER,10048325582,19.8,22.091,20.516,28.84,4.162,3,
62,Astana,2012,5/11/2011,WC,R2,1,6,PERKINS_Shane_Alan,RUS,10051694112,24.8,22.091,16.782,25.79,4.504,3,
63,Astana,2012,5/11/2011,WC,R2,2,1,LEVY_Maximilian,GER,10004601723,24.4,23.343,31.757,41.123,4.683,1,
64,Astana,2012,5/11/2011,WC,R2,2,2,HOY_Chris,SKY_,10001564310,35.6,22.091,28.445,37.151,4.353,2,
65,Astana,2012,5/11/2011,WC,R2,2,3,VOLIKAKIS_Christos,GRE,10004633247,23.6,22.091,25.831,34.275,4.222,2,
66,Astana,2012,5/11/2011,WC,R2,2,4,D'ALMEIDA_Michael,FRA,10004618796,24.2,18.861,21.949,28.977,3.514,6,
67,Astana,2012,5/11/2011,WC,R2,2,5,ZHANG_Miao,CHN_,10006737945,23.2,21.722,21.154,28.596,3.721,4,
68,Astana,2012,5/11/2011,WC,R2,2,6,NITTA_Yudai,JPN,10005727327,25.8,19.402,17.269,24.695,3.713,5,
69,Astana,2012,5/11/2011,WC,Final,1,1,VOLIKAKIS_Christos,GRE,10004633247,23.6,25.831,32.145,39.109,3.482,5,
70,Astana,2012,5/11/2011,WC,Final,1,2,HOY_Chris,SKY_,10001564310,35.6,28.445,31.815,38.621,3.403,2,
71,Astana,2012,5/11/2011,WC,Final,1,3,BORISOV_Sergei,RUS,10002558558,28.8,27.28,29.634,36.082,3.224,3,
72,Astana,2012,5/11/2011,WC,Final,1,4,"NG_Onn_Lam,_Josiah",MAS_,10055651813,,25.842,27.401,33.245,2.922,4,
73,Astana,2012,5/11/2011,WC,Final,1,5,LEVY_Maximilian,GER,10004601723,24.4,31.757,28.389,35.461,3.536,1,
74,Astana,2012,5/11/2011,WC,Final,1,6,HAAK_Hugo,NED_,10006900320,20,23.811,22.606,28.77,3.082,6,
75,Astana,2012,5/11/2011,WC,Final,2,1,BÖTTICHER_Stefan,GER,10048325582,19.8,20.516,25.981,32.919,3.469,4,
76,Astana,2012,5/11/2011,WC,Final,2,2,MAZQUIARAN_URIA_Hodei,ESP_,10004613039,22.9,23.211,25.418,31.456,3.019,1,
77,Astana,2012,5/11/2011,WC,Final,2,3,PERKINS_Shane_Alan,RUS,10051694112,24.8,16.782,20.931,27.761,3.415,6,
78,Astana,2012,5/11/2011,WC,Final,2,4,ZHANG_Miao,CHN_,10006737945,23.2,21.154,21.631,27.705,3.037,3,
79,Astana,2012,5/11/2011,WC,Final,2,5,NITTA_Yudai,JPN,10005727327,25.8,17.269,18.012,24.13,3.059,5,
80,Astana,2012,5/11/2011,WC,Final,2,6,D'ALMEIDA_Michael,FRA,10004618796,24.2,21.949,19.144,25.2,3.028,2,
81,Beijing,2012,14/01/2012,WC,R1,1,1,TAYLOR_Andrew,AUS_,10003030424,26.5,9,24.406,35.966,5.78,3,
82,Beijing,2012,14/01/2012,WC,R1,1,2,GAO_Song,GPC_,10006148467,28.7,9,21.04,31.228,5.094,3,
83,Beijing,2012,14/01/2012,WC,R1,1,3,PERALTA_Juan,ESP,10006552534,21.7,9,18.188,27.854,4.833,3,
84,Beijing,2012,14/01/2012,WC,R1,1,4,NAKAGAWA_Seiichiro,JPN_,10002830360,32.6,15.414,17.431,24.303,3.436,2,
85,Beijing,2012,14/01/2012,WC,R1,1,5,CANELON_VERA_Hersony_Gadiel,VEN,10004717719,23.1,19.893,17.855,24.795,3.47,1,
86,Beijing,2012,14/01/2012,WC,R1,1,6,JUN_Wongu,KOR_,10006643066,,9,4.913,16.563,5.825,3,
87,Beijing,2012,14/01/2012,WC,R1,2,1,PERVIS_Francois,FRA,10003011125,27.2,9,19.882,32.104,6.111,1,
88,Beijing,2012,14/01/2012,WC,R1,2,2,MASSIE_Giddeon,USA,10002260484,30.4,3.365,13.894,22.852,4.479,6,
89,Beijing,2012,14/01/2012,WC,R1,2,3,VOLIKAKIS_Zafeiris,GRE,10005505439,22.6,9,13.167,22.949,4.891,1,
90,Beijing,2012,14/01/2012,WC,R1,2,4,CIPRIANO_Flavio_Vagner,BRA,10007165755,22,7.994,10.438,17.89,3.726,5,
91,Beijing,2012,14/01/2012,WC,R1,2,5,CHEUNG_Joy_Lai,HKG_,10006278914,19.5,9,6.773,16.805,5.016,1,
92,Beijing,2012,14/01/2012,WC,R1,2,6,SZILSKII_Sergei,PHL_,10005748545,,9,1.207,12.471,5.632,1,
93,Beijing,2012,14/01/2012,WC,R1,3,1,PUERTA_ZAPATA_Fabian_Hernando,COL,10006904360,20.5,9,20.752,32.714,5.981,2,
94,Beijing,2012,14/01/2012,WC,R1,3,2,TEKLINSKI_Adrian,POL,10005364585,22.2,10.706,16.225,23.489,3.632,1,
95,Beijing,2012,14/01/2012,WC,R1,3,3,SKINNER_Callum,GBR,10006898296,19.4,9,14.343,24.117,4.887,2,
96,Beijing,2012,14/01/2012,WC,R1,3,4,DAWKINS_Edward,NZL,10005782695,22.5,9,11.373,21.291,4.959,2,
97,Beijing,2012,14/01/2012,WC,R1,3,5,SMITH_Travis,CAN_,10003302327,31.9,9,7.754,18.06,5.153,2,
98,Beijing,2012,14/01/2012,WC,R1,3,6,WANG_Qiming,HKP_,10004792588,24.6,9,1.916,13.468,5.776,2,
99,Beijing,2012,14/01/2012,WC,R1,4,1,ZHANG_Miao,CHN_,10006737945,23.4,21.631,23.834,29.494,2.83,1,
100,Beijing,2012,14/01/2012,WC,R1,4,2,BÜCHLI_Matthijs,NED,10006900421,19.1,9,17.521,27.447,4.963,2,
101,Beijing,2012,14/01/2012,WC,R1,4,3,KHOZOV_Vladimir,RUS_,10005510085,23.8,9,13.99,23.958,4.984,2,
102,Beijing,2012,14/01/2012,WC,R1,4,4,MD_YUNOS_Muhammad_Edrus,MAS,10004868269,24.5,9,10.22,20.306,5.043,2,
103,Beijing,2012,14/01/2012,WC,R1,4,5,AUDI_Raja,LIB,10006107748,32.2,1.572,4.487,12.637,4.075,6,
104,Beijing,2012,14/01/2012,WC,R1,4,6,MASOTTI_Fabio,ITA,10002209661,37.6,9,0.349,11.603,5.627,2,
105,Beijing,2012,14/01/2012,WC,R1,5,1,VYNOKUROV_Andrii,UKR,10002418415,29.4,12.339,22.012,29.346,3.667,3,
