,Location,Year,Date,Event,Round,Heat,Rank,Athlete,Country,UCI_ID,Age,Initial_CSE,Final_CSE,ExpectedRank,RatingChange
45,Astana,2012,2011-11-05,WC,Rep,4,2,NAKAGAWA_Seiichiro,JPN_,10002830360.0,32.4,9.870000000000001,15.414,3.0,
46,Astana,2012,2011-11-05,WC,Rep,4,3,TEKLINSKI_Adrian,POL,10005364585.0,22.0,3.365,10.706,4.0,
47,Astana,2012,2011-11-05,WC,Rep,4,4,WÄCHTER_Tobias,GER,10036244537.0,23.3,17.986,13.408,1.0,
48,Astana,2012,2011-11-05,WC,Rep,4,5,AUDI_Raja,LIB,10006107748.0,32.0,2.7489999999999988,1.5719999999999992,5.0,
49,Astana,2012,2011-11-05,WC,Rep,5,1,D'ALMEIDA_Michael,FRA,10004618796.0,24.2,9.870000000000001,18.860999999999997,3.0,
50,Astana,2012,2011-11-05,WC,Rep,5,2,CANELON_VERA_Hersony_Gadiel,VEN,10004717719.0,22.9,19.603,19.893,1.0,
51,Astana,2012,2011-11-05,WC,Rep,5,3,KENNY_Jason,GBR,10004599194.0,23.6,8.944999999999999,12.389,4.0,
52,Astana,2012,2011-11-05,WC,Rep,5,4,VELOCE_Joseph,CAN_,10006105930.0,22.5,14.16,10.721000000000002,2.0,
53,Astana,2012,2011-11-05,WC,Rep,6,1,"NG_Onn_Lam,_Josiah",MAS_,10055651813.0,,8.944999999999999,18.160999999999998,4.0,
54,Astana,2012,2011-11-05,WC,Rep,6,2,ŠPIČKA_Denis,CZE_,10004723476.0,23.2,12.906,17.323,3.0,
55,Astana,2012,2011-11-05,WC,Rep,6,3,AWANG_Mohd_Azizulhasni,MAS,10004868370.0,23.8,19.603,17.662999999999997,1.0,
56,Astana,2012,2011-11-05,WC,Rep,6,4,PHILLIP_Njisane,TTO,10006898401.0,20.4,14.16,11.517,2.0,
57,Astana,2012,2011-11-05,WC,R2,1,1,"NG_Onn_Lam,_Josiah",MAS_,10055651813.0,,18.160999999999998,25.842,6.0,
58,Astana,2012,2011-11-05,WC,R2,1,2,BORISOV_Sergei,RUS,10002558558.0,28.8,23.342999999999996,27.279999999999998,1.0,
59,Astana,2012,2011-11-05,WC,R2,1,3,HAAK_Hugo,NED_,10006900320.0,20.0,20.091,23.811,5.0,
60,Astana,2012,2011-11-05,WC,R2,1,4,MAZQUIARAN_URIA_Hodei,ESP_,10004613039.0,22.9,22.204,23.211000000000002,2.0,
61,Astana,2012,2011-11-05,WC,R2,1,5,BÖTTICHER_Stefan,GER,10048325582.0,19.8,22.091,20.516,3.0,
62,Astana,2012,2011-11-05,WC,R2,1,6,PERKINS_Shane_Alan,RUS,10051694112.0,24.8,22.091,16.782,3.0,
63,Astana,2012,2011-11-05,WC,R2,2,1,LEVY_Maximilian,GER,10004601723.0,24.4,23.342999999999996,31.756999999999998,1.0,
64,Astana,2012,2011-11-05,WC,R2,2,2,HOY_Chris,SKY_,10001564310.0,35.6,22.091,28.445000000000004,2.0,
65,Astana,2012,2011-11-05,WC,R2,2,3,VOLIKAKIS_Christos,GRE,10004633247.0,23.6,22.091,25.830999999999996,2.0,
66,Astana,2012,2011-11-05,WC,R2,2,4,D'ALMEIDA_Michael,FRA,10004618796.0,24.2,18.860999999999997,21.949,6.0,
67,Astana,2012,2011-11-05,WC,R2,2,5,ZHANG_Miao,CHN_,10006737945.0,23.2,21.722,21.154,4.0,
68,Astana,2012,2011-11-05,WC,R2,2,6,NITTA_Yudai,JPN,10005727327.0,25.8,19.402,17.269,5.0,
69,Astana,2012,2011-11-05,WC,Final,1,1,VOLIKAKIS_Christos,GRE,10004633247.0,23.6,25.830999999999996,32.145,5.0,
70,Astana,2012,2011-11-05,WC,Final,1,2,HOY_Chris,SKY_,10001564310.0,35.6,28.445000000000004,31.815,2.0,
71,Astana,2012,2011-11-05,WC,Final,1,3,BORISOV_Sergei,RUS,10002558558.0,28.8,27.279999999999998,29.634,3.0,
72,Astana,2012,2011-11-05,WC,Final,1,4,"NG_Onn_Lam,_Josiah",MAS_,10055651813.0,,25.842,27.400999999999996,4.0,
73,Astana,2012,2011-11-05,WC,Final,1,5,LEVY_Maximilian,GER,10004601723.0,24.4,31.756999999999998,28.389,1.0,
74,Astana,2012,2011-11-05,WC,Final,1,6,HAAK_Hugo,NED_,10006900320.0,20.0,23.811,22.606,6.0,
75,Astana,2012,2011-11-05,WC,Final,2,1,BÖTTICHER_Stefan,GER,10048325582.0,19.8,20.516,25.980999999999998,4.0,
76,Astana,2012,2011-11-05,WC,Final,2,2,MAZQUIARAN_URIA_Hodei,ESP_,10004613039.0,22.9,23.211000000000002,25.418,1.0,
77,Astana,2012,2011-11-05,WC,Final,2,3,PERKINS_Shane_Alan,RUS,10051694112.0,24.8,16.782,20.930999999999997,6.0,
78,Astana,2012,2011-11-05,WC,Final,2,4,ZHANG_Miao,CHN_,10006737945.0,23.2,21.154,21.631,3.0,
79,Astana,2012,2011-11-05,WC,Final,2,5,NITTA_Yudai,JPN,10005727327.0,25.8,17.269,18.012,5.0,
80,Astana,2012,2011-11-05,WC,Final,2,6,D'ALMEIDA_Michael,FRA,10004618796.0,24.2,21.949,19.144,2.0,
81,Beijing,2012,2012-01-14,WC,R1,1,1,TAYLOR_Andrew,AUS_,10003030424.0,26.5,9.0,24.406,3.0,
82,Beijing,2012,2012-01-14,WC,R1,1,2,GAO_Song,GPC_,10006148467.0,28.7,9.0,21.04,3.0,
83,Beijing,2012,2012-01-14,WC,R1,1,3,PERALTA_Juan,ESP,10006552534.0,21.7,9.0,18.188,3.0,
84,Beijing,2012,2012-01-14,WC,R1,1,4,NAKAGAWA_Seiichiro,JPN_,10002830360.0,32.6,15.414,17.431,2.0,
85,Beijing,2012,2012-01-14,WC,R1,1,5,CANELON_VERA_Hersony_Gadiel,VEN,10004717719.0,23.1,19.893,17.855,1.0,
86,Beijing,2012,2012-01-14,WC,R1,1,6,JUN_Wongu,KOR_,10006643066.0,,9.0,4.9129999999999985,3.0,
87,Beijing,2012,2012-01-14,WC,R1,2,1,PERVIS_Francois,FRA,10003011125.0,27.2,9.0,19.881999999999998,1.0,
88,Beijing,2012,2012-01-14,WC,R1,2,2,MASSIE_Giddeon,USA,10002260484.0,30.4,3.365,13.894,6.0,
89,Beijing,2012,2012-01-14,WC,R1,2,3,VOLIKAKIS_Zafeiris,GRE,10005505439.0,22.6,9.0,13.167000000000002,1.0,
90,Beijing,2012,2012-01-14,WC,R1,2,4,CIPRIANO_Flavio_Vagner,BRA,10007165755.0,22.0,7.994,10.438,5.0,
91,Beijing,2012,2012-01-14,WC,R1,2,5,CHEUNG_Joy_Lai,HKG_,10006278914.0,19.5,9.0,6.773,1.0,
92,Beijing,2012,2012-01-14,WC,R1,2,6,SZILSKII_Sergei,PHL_,10005748545.0,,9.0,1.2070000000000007,1.0,
93,Beijing,2012,2012-01-14,WC,R1,3,1,PUERTA_ZAPATA_Fabian_Hernando,COL,10006904360.0,20.5,9.0,20.752,2.0,
94,Beijing,2012,2012-01-14,WC,R1,3,2,TEKLINSKI_Adrian,POL,10005364585.0,22.2,10.706,16.225,1.0,
95,Beijing,2012,2012-01-14,WC,R1,3,3,SKINNER_Callum,GBR,10006898296.0,19.4,9.0,14.343000000000002,2.0,
96,Beijing,2012,2012-01-14,WC,R1,3,4,DAWKINS_Edward,NZL,10005782695.0,22.5,9.0,11.373000000000001,2.0,
97,Beijing,2012,2012-01-14,WC,R1,3,5,SMITH_Travis,CAN_,10003302327.0,31.9,9.0,7.754,2.0,
98,Beijing,2012,2012-01-14,WC,R1,3,6,WANG_Qiming,HKP_,10004792588.0,24.6,9.0,1.9160000000000004,2.0,
99,Beijing,2012,2012-01-14,WC,R1,4,1,ZHANG_Miao,CHN_,10006737945.0,23.4,21.631,23.834,1.0,
100,Beijing,2012,2012-01-14,WC,R1,4,2,BÜCHLI_Matthijs,NED,10006900421.0,19.1,9.0,17.521,2.0,
101,Beijing,2012,2012-01-14,WC,R1,4,3,KHOZOV_Vladimir,RUS_,10005510085.0,23.8,9.0,13.989999999999998,2.0,
102,Beijing,2012,2012-01-14,WC,R1,4,4,MD_YUNOS_Muhammad_Edrus,MAS,10004868269.0,24.5,9.0,10.22,2.0,
103,Beijing,2012,2012-01-14,WC,R1,4,5,AUDI_Raja,LIB,10006107748.0,32.2,1.5719999999999992,4.487,6.0,
104,Beijing,2012,2012-01-14,WC,R1,4,6,MASOTTI_Fabio,ITA,10002209661.0,37.6,9.0,0.3490000000000002,2.0,
105,Beijing,2012,2012-01-14,WC,R1,5,1,VYNOKUROV_Andrii,UKR,10002418415.0,29.4,12.339,22.012,3.0,
106,Beijing,2012,2012-01-14,WC,R1,5,2,BORISOV_Sergei,RUS,10002558558.0,29.0,29.634,29.12,1.0,
107,Beijing,2012,2012-01-14,WC,R1,5,3,MAZQUIARAN_URIA_Hodei,ESP_,10004613039.0,23.1,25.418,25.072,2.0,
108,Beijing,2012,2012-01-14,WC,R1,5,4,FENG_Yong,HBC_,10004792184.0,26.1,9.0,12.582999999999998,4.0,
109,Beijing,2012,2012-01-14,WC,R1,5,5,FEIFERLÍK_Martin,CZE_,10006600933.0,21.5,9.0,4.934000000000001,4.0,
110,Beijing,2012,2012-01-14,WC,R1,6,1,WATANABE_Kazunari,JPN,10003349716.0,26.7,9.0,22.772999999999996,4.0,
111,Beijing,2012,2012-01-14,WC,R1,6,2,PHILLIP_Njisane,TTO,10006898401.0,20.6,11.517,18.293999999999997,3.0,
112,Beijing,2012,2012-01-14,WC,R1,6,3,HSIAO_Shih_Hsin,TPE,10006137252.0,21.8,9.0,17.332,4.0,
113,Beijing,2012,2012-01-14,WC,R1,6,4,TANG_Qi,MSP_,10005763400.0,25.2,9.0,15.094000000000001,4.0,
114,Beijing,2012,2012-01-14,WC,R1,6,5,CECI_Francesco,ITA,10006073493.0,22.1,16.506,16.281,1.0,
115,Beijing,2012,2012-01-14,WC,R1,6,6,ESTERHUIZEN_Bernard,RSA_,10006893852.0,19.3,14.113000000000001,13.099,2.0,
116,Beijing,2012,2012-01-14,WC,R1,6,7,ZAID_Mohd_Fattah_Amri,MAS_,10007210417.0,19.8,9.0,3.141,4.0,
117,Beijing,2012,2012-01-14,WC,Rep,1,1,FENG_Yong,HBC_,10004792184.0,26.1,12.582999999999998,20.212,3.0,
118,Beijing,2012,2012-01-14,WC,Rep,1,2,GAO_Song,GPC_,10006148467.0,28.7,21.04,20.969,1.0,
119,Beijing,2012,2012-01-14,WC,Rep,1,3,SZILSKII_Sergei,PHL_,10005748545.0,,1.2070000000000007,9.979,5.0,
120,Beijing,2012,2012-01-14,WC,Rep,1,4,HSIAO_Shih_Hsin,TPE,10006137252.0,21.8,17.332,14.294,2.0,
121,Beijing,2012,2012-01-14,WC,Rep,1,5,AUDI_Raja,LIB,10006107748.0,32.2,4.487,3.957,4.0,
122,Beijing,2012,2012-01-14,WC,Rep,2,1,MAZQUIARAN_URIA_Hodei,ESP_,10004613039.0,23.1,25.072,25.982,1.0,
123,Beijing,2012,2012-01-14,WC,Rep,2,2,MASSIE_Giddeon,USA,10002260484.0,30.4,13.894,17.073,2.0,
124,Beijing,2012,2012-01-14,WC,Rep,2,3,JUN_Wongu,KOR_,10006643066.0,,4.9129999999999985,10.901,5.0,
125,Beijing,2012,2012-01-14,WC,Rep,2,4,MD_YUNOS_Muhammad_Edrus,MAS,10004868269.0,24.5,10.22,10.238,3.0,
126,Beijing,2012,2012-01-14,WC,Rep,2,5,SMITH_Travis,CAN_,10003302327.0,31.9,7.754,5.3469999999999995,4.0,
127,Beijing,2012,2012-01-14,WC,Rep,3,1,DAWKINS_Edward,NZL,10005782695.0,22.5,11.373000000000001,18.501,4.0,
128,Beijing,2012,2012-01-14,WC,Rep,3,2,KHOZOV_Vladimir,RUS_,10005510085.0,23.8,13.989999999999998,17.35,2.0,
