Title,Time,Duration,Action,Instance number
2023 Jakarta NC W Mad,1606.916567,0.241433333,Gap,85
2023 Jakarta NC W Mad,1625.038667,0,6,2
2023 Jakarta NC W Mad,1626.558,0.42,Gap,86
2023 Jakarta NC W Mad,1645.198,0.42,Gap,87
2023 Jakarta NC W Mad,1663.938,0.32,Gap,88
2023 Jakarta NC W Mad,1681.318,0.28,Gap,89
2023 Jakarta NC W Mad,1698.438,0.42,Gap,90
2023 Jakarta NC W Mad,1703.0432,0,8,1
2023 Jakarta NC W Mad,1715.018,0.64,Gap,91
2023 Jakarta NC W Mad,1729.418,1.02,Gap,92
2023 Jakarta NC W Mad,1746.238,0.56,Gap,93
2023 Jakarta NC W Mad,1752.985256,0,4,3
2023 Jakarta NC W Mad,1763.678,0.6,Gap,94
2023 Jakarta NC W Mad,1782.978,0.52,Gap,95
2023 Jakarta NC W Mad,1802.798,0.7,Gap,96
2023 Jakarta NC W Mad,1822.138,0.74,Gap,97
2023 Jakarta NC W Mad,1827.635911,0,12,2
2023 Jakarta NC W Mad,1841.238,0.68,Gap,98
2023 Jakarta NC W Mad,1859.958,0.12,Gap,99
2023 Jakarta NC W Mad,1876.758,0.56,Gap,100
2023 Jakarta NC W Mad,1892.718,1.06,Gap,101
2023 Jakarta NC W Mad,1894.578633,0,8,2
2023 Jakarta NC W Mad,1908.118,2.143044444,Gap,102
2023 Jakarta NC W Mad,1924.118,1.62,Gap,103
2023 Jakarta NC W Mad,1940.358,1.58,Gap,104
2023 Jakarta NC W Mad,1943.289244,0,5,3
2023 Jakarta NC W Mad,1956.658,1.14,Gap,105
2023 Jakarta NC W Mad,1974.978,0.36,Gap,106
2023 Jakarta NC W Mad,1993.658,0.68,Gap,107
2023 Jakarta NC W Mad,1995.186711,0,5,4
2023 Jakarta NC W Mad,2011.158,0.98,Gap,108
2023 Jakarta NC W Mad,2028.718,0,Gap,109
2023 Jakarta NC W Mad,2046.518,0,Gap,110
2023 Jakarta NC W Mad,2060.939844,0,2,8
2023 Jakarta NC W Mad,2062.418,0.54,Gap,111
2023 Jakarta NC W Mad,2077.298,0.48,Gap,112
2023 Jakarta NC W Mad,2095.198,0.16,Gap,113
2023 Jakarta NC W Mad,2114.938,0.32,Gap,114
2023 Jakarta NC W Mad,2121.030567,0,2,9
2023 Jakarta NC W Mad,2134.998,0.12,Gap,115
2023 Jakarta NC W Mad,2154.078,0.06,Gap,116
2023 Jakarta NC W Mad,2172.418,0,Gap,117
2023 Jakarta NC W Mad,2182.048056,0,1,8
2023 Jakarta NC W Mad,2189.158,0,Gap,118
2023 Jakarta NC W Mad,2204.231922,0,Gap,119
2023 Jakarta NC W Mad,2218.978,0.08,Gap,120
2023 Jakarta NC W Mad,2234.218,1.46,Gap,121
2023 Jakarta NC W Mad,2234.818,0,3,3
2023 Jakarta NC W Mad,2249.458,0.84,Gap,122
