Location,Year,Date,Event,Stage,Heat,Round,Athlete,Country,Age,Final_Rank,Rank,200m,AvgSpeed,Initial_CSE,Final_CSE,Mu,Sigma,ExpectedRank,RatingChange,,
Berlin,2018,2/12/2018,NC,R8,5,1,HINDES_Philip,GBR,,,2,10.946,65.77745295,15.054,13.241,25.719,6.239,1,-1.813,,
Berlin,2018,2/12/2018,NC,R8,6,1,DMITRIEV_Denis,RUS,32.71780822,,1,10.41,69.16426513,15.054,20.595,33.073,6.239,1,5.541,,
Berlin,2018,2/12/2018,NC,R8,6,1,PAUL_Nicholas,TTO,20.20547945,,2,10.473,68.74820968,15.054,13.241,25.719,6.239,1,-1.813,,
Berlin,2018,2/12/2018,NC,R8,7,1,HELAL_Rayan,FRA,19.87671233,3,1,10.279,70.04572429,15.054,20.595,33.073,6.239,1,5.541,,
Berlin,2018,2/12/2018,NC,R8,7,1,KENNY_Jason,GBR,,,2,10.428,69.04487917,15.054,13.241,25.719,6.239,1,-1.813,,
Berlin,2018,2/12/2018,NC,R8,8,1,LEVY_Maximilian,GER,,,1,10.208,70.53291536,15.054,20.595,33.073,6.239,1,5.541,,
Berlin,2018,2/12/2018,NC,R8,8,1,XU_Chao,CHN,,,2,10.287,69.99125109,15.054,13.241,25.719,6.239,1,-1.813,,
Berlin,2018,2/12/2018,NC,QF,1,1,RUDYK_Mateusz,POL,23.38630137,4,1,10.049,71.64892029,17.253,23.402,35.154,5.876,2,6.149,,
Berlin,2018,2/12/2018,NC,QF,1,1,LEVY_Maximilian,GER,,,2,15.033,47.89463181,20.595,18.638,29.646,5.504,1,-1.957,,
Berlin,2018,2/12/2018,NC,QF,2,1,HELAL_Rayan,FRA,19.87671233,3,1,10.25,70.24390244,20.595,24.808,35.884,5.538,1,4.213,,
Berlin,2018,2/12/2018,NC,QF,2,1,TRUMAN_Joseph,TIN,21.8109589,,2,10.289,69.97764603,19.031,17.58,28.94,5.68,2,-1.451,,
Berlin,2018,2/12/2018,NC,QF,3,1,GLAETZER_Matthew,AUS,26.29041096,1,1,10.22,70.45009785,17.253,23.402,35.154,5.876,2,6.149,,
Berlin,2018,2/12/2018,NC,QF,3,1,DMITRIEV_Denis,RUS,32.71780822,,2,10.269,70.11393514,20.595,18.638,29.646,5.504,1,-1.957,,
Berlin,2018,2/12/2018,NC,QF,4,1,BUCHLI_Matthijs,BCC,,2,1,10.271,70.10028235,20.595,24.808,35.884,5.538,1,4.213,,
Berlin,2018,2/12/2018,NC,QF,4,1,KELEMEN_Pavel,CZE,119.0027397,,2,10.307,69.85543805,19.031,17.58,28.94,5.68,2,-1.451,,
Berlin,2018,2/12/2018,NC,QF,1,2,RUDYK_Mateusz,POL,23.38630137,4,1,10.09,71.35777998,23.402,26.316,36.956,5.32,1,2.914,,
Berlin,2018,2/12/2018,NC,QF,1,2,LEVY_Maximilian,GER,,,2,10.181,70.71996857,18.638,17.965,28.065,5.05,2,-0.673,,
Berlin,2018,2/12/2018,NC,QF,2,2,HELAL_Rayan,FRA,19.87671233,3,1,10.295,69.93686255,24.808,27.058,37.268,5.105,1,2.25,,
Berlin,2018,2/12/2018,NC,QF,2,2,TRUMAN_Joseph,TIN,21.8109589,,2,10.343,69.61229817,17.58,17.06,27.484,5.212,2,-0.52,,
Berlin,2018,2/12/2018,NC,QF,3,2,GLAETZER_Matthew,AUS,26.29041096,1,1,10.16,70.86614173,23.402,26.316,36.956,5.32,1,2.914,,
Berlin,2018,2/12/2018,NC,QF,3,2,DMITRIEV_Denis,RUS,32.71780822,,2,10.608,67.87330317,18.638,17.965,28.065,5.05,2,-0.673,,
Berlin,2018,2/12/2018,NC,QF,4,2,BUCHLI_Matthijs,BCC,,2,1,10.178,70.74081352,24.808,27.058,37.268,5.105,1,2.25,,
Berlin,2018,2/12/2018,NC,QF,4,2,KELEMEN_Pavel,CZE,119.0027397,,2,10.222,70.43631383,17.58,17.06,27.484,5.212,2,-0.52,,
Berlin,2018,2/12/2018,NC,SF,1,1,BUCHLI_Matthijs,BCC,,2,1,10.296,69.93006993,27.058,30.356,39.552,4.598,1,3.298,,
Berlin,2018,2/12/2018,NC,SF,1,1,RUDYK_Mateusz,POL,23.38630137,4,2,10.439,68.97212377,26.316,24.99,34.476,4.743,2,-1.326,,
Berlin,2018,2/12/2018,NC,SF,2,1,GLAETZER_Matthew,AUS,26.29041096,1,1,10.22,70.45009785,26.316,30.106,39.566,4.73,2,3.79,,
Berlin,2018,2/12/2018,NC,SF,2,1,HELAL_Rayan,FRA,19.87671233,3,2,10.306,69.86221618,27.058,25.693,34.865,4.586,1,-1.365,,
Berlin,2018,2/12/2018,NC,SF,1,2,BUCHLI_Matthijs,BCC,,2,1,10.446,68.92590465,30.356,33.191,41.363,4.086,1,2.835,,
Berlin,2018,2/12/2018,NC,SF,1,2,RUDYK_Mateusz,POL,23.38630137,4,2,10.664,67.51687922,24.99,27.229,34.947,3.859,2,2.239,,
Berlin,2018,2/12/2018,NC,SF,2,2,GLAETZER_Matthew,AUS,26.29041096,1,2,10.321,69.7606821,30.106,29.473,37.181,3.854,1,-0.633,,
Berlin,2018,2/12/2018,NC,SF,2,2,HELAL_Rayan,FRA,19.87671233,3,1,10.316,69.79449399,25.693,29.096,36.518,3.711,1,3.403,,
Berlin,2018,2/12/2018,NC,SF,2,3,GLAETZER_Matthew,AUS,26.29041096,1,1,10.163,70.84522287,29.473,30.873,37.511,3.319,1,1.4,,
Berlin,2018,2/12/2018,NC,SF,2,3,HELAL_Rayan,FRA,19.87671233,3,2,10.198,70.60207884,29.096,24.712,32.744,4.016,2,-4.384,,
Berlin,2018,2/12/2018,NC,F,G,1,GLAETZER_Matthew,AUS,26.29041096,1,1,10.223,70.42942385,30.873,32.998,39.186,3.094,2,2.125,,
Berlin,2018,2/12/2018,NC,F,G,1,BUCHLI_Matthijs,BCC,,2,2,10.255,70.20965383,33.191,31.511,38.825,3.657,1,-1.68,,
