Event,Date,Round,Heat,Position,Draw,3 to go,2.5 to go,2 to go,1.5 to go,1 to go,0.5 to go,PL,Finish,Video
2024 Paris Oly,10/08/2024,R1,4,3,WAMMES Nick,WAMMES Nick,WAMMES Nick,BROWNE Kwesi,BROWNE Kwesi,BROWNE Kwesi,BROWNE Kwesi,BROWNE Kwesi,BROWNE Kwesi,https://youtu.be/lG9HG75jqP8
2024 Paris Oly,10/08/2024,R1,4,4,SPIEGEL Luca,SPIEGEL Luca,SPIEGEL Luca,WAMMES Nick,ANGSUTHASAWIT Jai,ANGSUTHASAWIT Jai,ANGSUTHASAWIT Jai,ANGSUTHASAWIT Jai,ANGSUTHASAWIT Jai,https://youtu.be/lG9HG75jqP8
2024 Paris Oly,10/08/2024,R1,4,5,ANGSUTHASAWIT Jai,ANGSUTHASAWIT Jai,YAKOVLEV Mikhail,SPIEGEL Luca,WAMMES Nick,WAMMES Nick,WAMMES Nick,WAMMES Nick,WAMMES Nick,https://youtu.be/lG9HG75jqP8
2024 Paris Oly,10/08/2024,R1,4,6,YAKOVLEV Mikhail,YAKOVLEV Mikhail,ANGSUTHASAWIT Jai,ANGSUTHASAWIT Jai,SPIEGEL Luca,SPIEGEL Luca,SPIEGEL Luca,SPIEGEL Luca,SPIEGEL Luca,https://youtu.be/lG9HG75jqP8
2024 Paris Oly,10/08/2024,R1,5,1,PAUL Nicholas,PAUL Nicholas,RUDYK Mateusz,ORTEGA FONTALVO Cristian David,ORTEGA FONTALVO Cristian David,PAUL Nicholas,PAUL Nicholas,PAUL Nicholas,PAUL Nicholas,https://youtu.be/BS0dtrWdcB8
2024 Paris Oly,10/08/2024,R1,5,2,LENDEL Vasilijus,RUDYK Mateusz,ORTEGA FONTALVO Cristian David,PAUL Nicholas,PAUL Nicholas,ORTEGA FONTALVO Cristian David,RUDYK Mateusz,RUDYK Mateusz,RUDYK Mateusz,https://youtu.be/BS0dtrWdcB8
2024 Paris Oly,10/08/2024,R1,5,3,DAKIN Sam,DAKIN Sam,DAKIN Sam,RUDYK Mateusz,RUDYK Mateusz,RUDYK Mateusz,ORTEGA FONTALVO Cristian David,ORTEGA FONTALVO Cristian David,ORTEGA FONTALVO Cristian David,https://youtu.be/BS0dtrWdcB8
2024 Paris Oly,10/08/2024,R1,5,4,RUDYK Mateusz,ORTEGA FONTALVO Cristian David,PAUL Nicholas,DAKIN Sam,DAKIN Sam,DAKIN Sam,DAKIN Sam,DAKIN Sam,DAKIN Sam,https://youtu.be/BS0dtrWdcB8
2024 Paris Oly,10/08/2024,R1,5,5,ORTEGA FONTALVO Cristian David,LENDEL Vasilijus,LENDEL Vasilijus,LENDEL Vasilijus,LENDEL Vasilijus,LENDEL Vasilijus,LENDEL Vasilijus,LENDEL Vasilijus,LENDEL Vasilijus,https://youtu.be/BS0dtrWdcB8
2024 Paris Oly,10/08/2024,Rep,1,1,ANGSUTHASAWIT Jai,DAKIN Sam,DAKIN Sam,DAKIN Sam,OTA Kaiya,OTA Kaiya,OTA Kaiya,OTA Kaiya,OTA Kaiya,https://youtu.be/Lh6jCwh0A6k
2024 Paris Oly,10/08/2024,Rep,1,2,OTA Kaiya,ANGSUTHASAWIT Jai,ANGSUTHASAWIT Jai,OTA Kaiya,DOERNBACH Maximilian,DOERNBACH Maximilian,DOERNBACH Maximilian,DAKIN Sam,DAKIN Sam,https://youtu.be/Lh6jCwh0A6k
2024 Paris Oly,10/08/2024,Rep,1,3,DOERNBACH Maximilian,OTA Kaiya,OTA Kaiya,ANGSUTHASAWIT Jai,DAKIN Sam,DAKIN Sam,DAKIN Sam,DOERNBACH Maximilian,ANGSUTHASAWIT Jai,https://youtu.be/Lh6jCwh0A6k
2024 Paris Oly,10/08/2024,Rep,1,4,SPIES Jean,DOERNBACH Maximilian,DOERNBACH Maximilian,DOERNBACH Maximilian,ANGSUTHASAWIT Jai,ANGSUTHASAWIT Jai,ANGSUTHASAWIT Jai,ANGSUTHASAWIT Jai,DOERNBACH Maximilian,https://youtu.be/Lh6jCwh0A6k
2024 Paris Oly,10/08/2024,Rep,1,5,DAKIN Sam,SPIES Jean,SPIES Jean,SPIES Jean,SPIES Jean,SPIES Jean,SPIES Jean,SPIES Jean,SPIES Jean,https://youtu.be/Lh6jCwh0A6k
2024 Paris Oly,10/08/2024,Rep,2,1,SPIEGEL Luca,SPIEGEL Luca,SPIEGEL Luca,LENDEL Vasilijus,LENDEL Vasilijus,LENDEL Vasilijus,SPIEGEL Luca,TURNBULL Hamish,TURNBULL Hamish,https://youtu.be/K2wSc3Pds2A
2024 Paris Oly,10/08/2024,Rep,2,2,TURNBULL Hamish,TURNBULL Hamish,VIGIER Sebastien,SPIEGEL Luca,SPIEGEL Luca,SPIEGEL Luca,LENDEL Vasilijus,SPIEGEL Luca,SPIEGEL Luca,https://youtu.be/K2wSc3Pds2A
2024 Paris Oly,10/08/2024,Rep,2,3,LENDEL Vasilijus,LENDEL Vasilijus,LENDEL Vasilijus,VIGIER Sebastien,VIGIER Sebastien,VIGIER Sebastien,VIGIER Sebastien,VIGIER Sebastien,VIGIER Sebastien,https://youtu.be/K2wSc3Pds2A
2024 Paris Oly,10/08/2024,Rep,2,4,VIGIER Sebastien,VIGIER Sebastien,TURNBULL Hamish,TURNBULL Hamish,TURNBULL Hamish,TURNBULL Hamish,TURNBULL Hamish,LENDEL Vasilijus,LENDEL Vasilijus,https://youtu.be/K2wSc3Pds2A
2024 Paris Oly,10/08/2024,Rep,3,1,WAMMES Nick,WAMMES Nick,WAMMES Nick,WAMMES Nick,WAMMES Nick,WAMMES Nick,WAMMES Nick,WAMMES Nick,SAHROM Muhammad Shah Firdaus,https://youtu.be/HGO7ZaBmsr8
2024 Paris Oly,10/08/2024,Rep,3,2,SAHROM Muhammad Shah Firdaus,SAHROM Muhammad Shah Firdaus,SAHROM Muhammad Shah Firdaus,TJON EN FA Jair,SAHROM Muhammad Shah Firdaus,SAHROM Muhammad Shah Firdaus,SAHROM Muhammad Shah Firdaus,SAHROM Muhammad Shah Firdaus,WAMMES Nick,https://youtu.be/HGO7ZaBmsr8
2024 Paris Oly,10/08/2024,Rep,3,3,TJON EN FA Jair,TJON EN FA Jair,TJON EN FA Jair,SAHROM Muhammad Shah Firdaus,TJON EN FA Jair,TJON EN FA Jair,TJON EN FA Jair,LIU Qi,LIU Qi,https://youtu.be/HGO7ZaBmsr8
2024 Paris Oly,10/08/2024,Rep,3,4,LIU Qi,LIU Qi,LIU Qi,LIU Qi,LIU Qi,LIU Qi,LIU Qi,TJON EN FA Jair,TJON EN FA Jair,https://youtu.be/HGO7ZaBmsr8
2024 Paris Oly,10/08/2024,QF,1,1,CARLIN Jack,CARLIN Jack,GLAETZER Matthew,GLAETZER Matthew,OTA Kaiya,OTA Kaiya,GLAETZER Matthew,GLAETZER Matthew,CARLIN Jack,https://youtu.be/TjBBmabJdTw
2024 Paris Oly,10/08/2024,QF,1,2,GLAETZER Matthew,GLAETZER Matthew,CARLIN Jack,OTA Kaiya,GLAETZER Matthew,GLAETZER Matthew,OTA Kaiya,CARLIN Jack,GLAETZER Matthew,https://youtu.be/TjBBmabJdTw
2024 Paris Oly,10/08/2024,QF,1,3,YAKOVLEV Mikhail,OTA Kaiya,OTA Kaiya,CARLIN Jack,YAKOVLEV Mikhail,YAKOVLEV Mikhail,YAKOVLEV Mikhail,OTA Kaiya,SAHROM Muhammad Shah Firdaus,https://youtu.be/TjBBmabJdTw
2024 Paris Oly,10/08/2024,QF,1,4,SAHROM Muhammad Shah Firdaus,YAKOVLEV Mikhail,YAKOVLEV Mikhail,YAKOVLEV Mikhail,CARLIN Jack,CARLIN Jack,CARLIN Jack,SAHROM Muhammad Shah Firdaus,OTA Kaiya,https://youtu.be/TjBBmabJdTw
2024 Paris Oly,10/08/2024,QF,1,5,OTA Kaiya,SAHROM Muhammad Shah Firdaus,SAHROM Muhammad Shah Firdaus,SAHROM Muhammad Shah Firdaus,SAHROM Muhammad Shah Firdaus,SAHROM Muhammad Shah Firdaus,SAHROM Muhammad Shah Firdaus,YAKOVLEV Mikhail,YAKOVLEV Mikhail,https://youtu.be/TjBBmabJdTw
2024 Paris Oly,10/08/2024,QF,1,6,HEDGCOCK James,HEDGCOCK James,HEDGCOCK James,HEDGCOCK James,HEDGCOCK James,HEDGCOCK James,HEDGCOCK James,HEDGCOCK James,HEDGCOCK James,https://youtu.be/TjBBmabJdTw
2024 Paris Oly,10/08/2024,QF,2,1,LAVREYSEN Harrie,LAVREYSEN Harrie,WAMMES Nick,WAMMES Nick,NAKANO Shinji,LAVREYSEN Harrie,LAVREYSEN Harrie,LAVREYSEN Harrie,LAVREYSEN Harrie,https://youtu.be/04Du6jGypiA
2024 Paris Oly,10/08/2024,QF,2,2,TURNBULL Hamish,TURNBULL Hamish,NAKANO Shinji,NAKANO Shinji,WAMMES Nick,NAKANO Shinji,TURNBULL Hamish,TURNBULL Hamish,TURNBULL Hamish,https://youtu.be/04Du6jGypiA
2024 Paris Oly,10/08/2024,QF,2,3,NAKANO Shinji,WAMMES Nick,LAVREYSEN Harrie,LAVREYSEN Harrie,LAVREYSEN Harrie,TURNBULL Hamish,ORTEGA FONTALVO Cristian David,ORTEGA FONTALVO Cristian David,ORTEGA FONTALVO Cristian David,https://youtu.be/04Du6jGypiA
2024 Paris Oly,10/08/2024,QF,2,4,ORTEGA FONTALVO Cristian David,NAKANO Shinji,TURNBULL Hamish,TURNBULL Hamish,TURNBULL Hamish,ORTEGA FONTALVO Cristian David,NAKANO Shinji,NAKANO Shinji,NAKANO Shinji,https://youtu.be/04Du6jGypiA
2024 Paris Oly,10/08/2024,QF,2,5,WAMMES Nick,ORTEGA FONTALVO Cristian David,ORTEGA FONTALVO Cristian David,PAUL Nicholas,PAUL Nicholas,WAMMES Nick,PAUL Nicholas,PAUL Nicholas,PAUL Nicholas,https://youtu.be/04Du6jGypiA
2024 Paris Oly,10/08/2024,QF,2,6,PAUL Nicholas,PAUL Nicholas,PAUL Nicholas,ORTEGA FONTALVO Cristian David,ORTEGA FONTALVO Cristian David,PAUL Nicholas,WAMMES Nick,WAMMES Nick,WAMMES Nick,https://youtu.be/04Du6jGypiA
2024 Paris Oly,10/08/2024,QF,3,1,RICHARDSON Matthew,RICHARDSON Matthew,DAKIN Sam,DAKIN Sam,DAKIN Sam,RICHARDSON Matthew,RICHARDSON Matthew,RICHARDSON Matthew,RICHARDSON Matthew,https://youtu.be/4Tb-6vgTVBk
2024 Paris Oly,10/08/2024,QF,3,2,DAKIN Sam,DAKIN Sam,RICHARDSON Matthew,RICHARDSON Matthew,RICHARDSON Matthew,DAKIN Sam,DAKIN Sam,DAKIN Sam,DAKIN Sam,https://youtu.be/4Tb-6vgTVBk
2024 Paris Oly,10/08/2024,QF,3,3,SPIEGEL Luca,SPIEGEL Luca,SPIEGEL Luca,SPIEGEL Luca,SPIEGEL Luca,SPIEGEL Luca,SPIEGEL Luca,RUDYK Mateusz,RUDYK Mateusz,https://youtu.be/4Tb-6vgTVBk
2024 Paris Oly,10/08/2024,QF,3,4,QUINTERO CHAVARRO Kevin Santiago,QUINTERO CHAVARRO Kevin Santiago,HOOGLAND Jeffrey,HOOGLAND Jeffrey,QUINTERO CHAVARRO Kevin Santiago,QUINTERO CHAVARRO Kevin Santiago,QUINTERO CHAVARRO Kevin Santiago,SPIEGEL Luca,SPIEGEL Luca,https://youtu.be/4Tb-6vgTVBk
2024 Paris Oly,10/08/2024,QF,3,5,HOOGLAND Jeffrey,HOOGLAND Jeffrey,QUINTERO CHAVARRO Kevin Santiago,QUINTERO CHAVARRO Kevin Santiago,HOOGLAND Jeffrey,HOOGLAND Jeffrey,HOOGLAND Jeffrey,HOOGLAND Jeffrey,HOOGLAND Jeffrey,https://youtu.be/4Tb-6vgTVBk
2024 Paris Oly,10/08/2024,QF,3,6,RUDYK Mateusz,RUDYK Mateusz,RUDYK Mateusz,RUDYK Mateusz,RUDYK Mateusz,RUDYK Mateusz,RUDYK Mateusz,QUINTERO CHAVARRO Kevin Santiago,QUINTERO CHAVARRO Kevin Santiago,https://youtu.be/4Tb-6vgTVBk
2024 Paris Oly,10/08/2024,SF,1,1,CARLIN Jack,CARLIN Jack,DAKIN Sam,DAKIN Sam,DAKIN Sam,DAKIN Sam,CARLIN Jack,CARLIN Jack,CARLIN Jack,https://youtu.be/qVOLWvTxW34
2024 Paris Oly,10/08/2024,SF,1,2,DAKIN Sam,DAKIN Sam,CARLIN Jack,RUDYK Mateusz,CARLIN Jack,CARLIN Jack,GLAETZER Matthew,GLAETZER Matthew,GLAETZER Matthew,https://youtu.be/qVOLWvTxW34
2024 Paris Oly,10/08/2024,SF,1,3,ORTEGA FONTALVO Cristian David,RUDYK Mateusz,RUDYK Mateusz,CARLIN Jack,ORTEGA FONTALVO Cristian David,GLAETZER Matthew,DAKIN Sam,NAKANO Shinji,NAKANO Shinji,https://youtu.be/qVOLWvTxW34
2024 Paris Oly,10/08/2024,SF,1,4,NAKANO Shinji,ORTEGA FONTALVO Cristian David,ORTEGA FONTALVO Cristian David,GLAETZER Matthew,GLAETZER Matthew,ORTEGA FONTALVO Cristian David,NAKANO Shinji,ORTEGA FONTALVO Cristian David,ORTEGA FONTALVO Cristian David,https://youtu.be/qVOLWvTxW34
2024 Paris Oly,10/08/2024,SF,1,5,GLAETZER Matthew,GLAETZER Matthew,GLAETZER Matthew,ORTEGA FONTALVO Cristian David,RUDYK Mateusz,NAKANO Shinji,ORTEGA FONTALVO Cristian David,DAKIN Sam,DAKIN Sam,https://youtu.be/qVOLWvTxW34
2024 Paris Oly,10/08/2024,SF,1,6,RUDYK Mateusz,NAKANO Shinji,NAKANO Shinji,NAKANO Shinji,NAKANO Shinji,RUDYK Mateusz,RUDYK Mateusz,RUDYK Mateusz,RUDYK Mateusz,https://youtu.be/qVOLWvTxW34
2024 Paris Oly,10/08/2024,SF,2,1,RICHARDSON Matthew,RICHARDSON Matthew,SPIEGEL Luca,LAVREYSEN Harrie,LAVREYSEN Harrie,LAVREYSEN Harrie,RICHARDSON Matthew,RICHARDSON Matthew,RICHARDSON Matthew,https://youtu.be/47r3U6EP_kQ
2024 Paris Oly,10/08/2024,SF,2,2,OTA Kaiya,OTA Kaiya,LAVREYSEN Harrie,SPIEGEL Luca,SPIEGEL Luca,SPIEGEL Luca,LAVREYSEN Harrie,LAVREYSEN Harrie,LAVREYSEN Harrie,https://youtu.be/47r3U6EP_kQ
2024 Paris Oly,10/08/2024,SF,2,3,SPIEGEL Luca,SPIEGEL Luca,RICHARDSON Matthew,TURNBULL Hamish,SAHROM Muhammad Shah Firdaus,RICHARDSON Matthew,SPIEGEL Luca,OTA Kaiya,OTA Kaiya,https://youtu.be/47r3U6EP_kQ
2024 Paris Oly,10/08/2024,SF,2,4,TURNBULL Hamish,TURNBULL Hamish,TURNBULL Hamish,SAHROM Muhammad Shah Firdaus,TURNBULL Hamish,SAHROM Muhammad Shah Firdaus,OTA Kaiya,SAHROM Muhammad Shah Firdaus,SAHROM Muhammad Shah Firdaus,https://youtu.be/47r3U6EP_kQ
2024 Paris Oly,10/08/2024,SF,2,5,LAVREYSEN Harrie,LAVREYSEN Harrie,SAHROM Muhammad Shah Firdaus,RICHARDSON Matthew,RICHARDSON Matthew,TURNBULL Hamish,SAHROM Muhammad Shah Firdaus,TURNBULL Hamish,,https://youtu.be/47r3U6EP_kQ
2024 Paris Oly,10/08/2024,SF,2,6,SAHROM Muhammad Shah Firdaus,SAHROM Muhammad Shah Firdaus,OTA Kaiya,OTA Kaiya,OTA Kaiya,OTA Kaiya,TURNBULL Hamish,SPIEGEL Luca,,https://youtu.be/47r3U6EP_kQ
2024 Paris Oly,10/08/2024,F,1,1,SPIEGEL Luca,SPIEGEL Luca,DAKIN Sam,DAKIN Sam,ORTEGA FONTALVO Cristian David,ORTEGA FONTALVO Cristian David,ORTEGA FONTALVO Cristian David,ORTEGA FONTALVO Cristian David,ORTEGA FONTALVO Cristian David,https://youtu.be/_GBMiVsaBgo
2024 Paris Oly,10/08/2024,F,1,2,DAKIN Sam,DAKIN Sam,SPIEGEL Luca,SPIEGEL Luca,DAKIN Sam,DAKIN Sam,DAKIN Sam,DAKIN Sam,DAKIN Sam,https://youtu.be/_GBMiVsaBgo
2024 Paris Oly,10/08/2024,F,1,3,ORTEGA FONTALVO Cristian David,ORTEGA FONTALVO Cristian David,ORTEGA FONTALVO Cristian David,ORTEGA FONTALVO Cristian David,SPIEGEL Luca,RUDYK Mateusz,RUDYK Mateusz,SPIEGEL Luca,SPIEGEL Luca,https://youtu.be/_GBMiVsaBgo
2024 Paris Oly,10/08/2024,F,1,4,RUDYK Mateusz,RUDYK Mateusz,RUDYK Mateusz,RUDYK Mateusz,RUDYK Mateusz,SPIEGEL Luca,SPIEGEL Luca,RUDYK Mateusz,RUDYK Mateusz,https://youtu.be/_GBMiVsaBgo
2024 Paris Oly,10/08/2024,F,2,1,NAKANO Shinji,NAKANO Shinji,NAKANO Shinji,GLAETZER Matthew,GLAETZER Matthew,GLAETZER Matthew,LAVREYSEN Harrie,LAVREYSEN Harrie,LAVREYSEN Harrie,https://youtu.be/KVkfCNkY-uo
2024 Paris Oly,10/08/2024,F,2,2,LAVREYSEN Harrie,LAVREYSEN Harrie,GLAETZER Matthew,NAKANO Shinji,NAKANO Shinji,LAVREYSEN Harrie,RICHARDSON Matthew,RICHARDSON Matthew,RICHARDSON Matthew,https://youtu.be/KVkfCNkY-uo
2024 Paris Oly,10/08/2024,F,2,3,GLAETZER Matthew,GLAETZER Matthew,LAVREYSEN Harrie,LAVREYSEN Harrie,LAVREYSEN Harrie,NAKANO Shinji,NAKANO Shinji,CARLIN Jack,GLAETZER Matthew,https://youtu.be/KVkfCNkY-uo
2024 Paris Oly,10/08/2024,F,2,4,CARLIN Jack,CARLIN Jack,CARLIN Jack,CARLIN Jack,SAHROM Muhammad Shah Firdaus,RICHARDSON Matthew,SAHROM Muhammad Shah Firdaus,NAKANO Shinji,SAHROM Muhammad Shah Firdaus,https://youtu.be/KVkfCNkY-uo
2024 Paris Oly,10/08/2024,F,2,5,SAHROM Muhammad Shah Firdaus,SAHROM Muhammad Shah Firdaus,SAHROM Muhammad Shah Firdaus,SAHROM Muhammad Shah Firdaus,RICHARDSON Matthew,SAHROM Muhammad Shah Firdaus,GLAETZER Matthew,SAHROM Muhammad Shah Firdaus,,https://youtu.be/KVkfCNkY-uo
2024 Paris Oly,10/08/2024,F,2,6,RICHARDSON Matthew,RICHARDSON Matthew,RICHARDSON Matthew,RICHARDSON Matthew,CARLIN Jack,CARLIN Jack,CARLIN Jack,GLAETZER Matthew,,https://youtu.be/KVkfCNkY-uo
2025 Konya NC,15/03/2025,F,1,1,WAMMES Nick,WAMMES Nick,YAMASAKI Kento,van LOON Tijmen,van LOON Tijmen,HOFFMAN Leigh,HOFFMAN Leigh,HOFFMAN Leigh,HOFFMAN Leigh,
2025 Konya NC,15/03/2025,F,1,2,ESOW Esow,ESOW Esow,van LOON Tijmen,YAMASAKI Kento,YAMASAKI Kento,van LOON Tijmen,YAMASAKI Kento,YAMASAKI Kento,YAMASAKI Kento,
2025 Konya NC,15/03/2025,F,1,3,HOFFMAN Leigh,HOFFMAN Leigh,WAMMES Nick,WAMMES Nick,WAMMES Nick,YAMASAKI Kento,ESOW Esow,ESOW Esow,ESOW Esow,
2025 Konya NC,15/03/2025,F,1,4,DODYK Ryan,DODYK Ryan,ESOW Esow,ESOW Esow,HOFFMAN Leigh,ESOW Esow,DODYK Ryan,DODYK Ryan,DODYK Ryan,
2025 Konya NC,15/03/2025,F,1,5,van LOON Tijmen,YAMASAKI Kento,HOFFMAN Leigh,HOFFMAN Leigh,ESOW Esow,WAMMES Nick,van LOON Tijmen,WAMMES Nick,WAMMES Nick,
2025 Konya NC,15/03/2025,F,1,6,YAMASAKI Kento,van LOON Tijmen,DODYK Ryan,DODYK Ryan,DODYK Ryan,DODYK Ryan,WAMMES Nick,van LOON Tijmen,van LOON Tijmen,
2025 Konya NC,15/03/2025,F,2,1,VIGIER Sebastien,VIGIER Sebastien,VIGIER Sebastien,DERACHE Tom,DERACHE Tom,DERACHE Tom,VIGIER Sebastien,VIGIER Sebastien,SAHROM Muhammad Shah Firdaus,
2025 Konya NC,15/03/2025,F,2,2,DERACHE Tom,DERACHE Tom,DERACHE Tom,VIGIER Sebastien,VIGIER Sebastien,VIGIER Sebastien,DERACHE Tom,SAHROM Muhammad Shah Firdaus,VIGIER Sebastien,
2025 Konya NC,15/03/2025,F,2,3,NAKANO Shinji,NAKANO Shinji,DAKIN Sam,DAKIN Sam,DAKIN Sam,SAHROM Muhammad Shah Firdaus,SAHROM Muhammad Shah Firdaus,DERACHE Tom,NAKANO Shinji,
2025 Konya NC,15/03/2025,F,2,4,BARBER Daniel,BARBER Daniel,NAKANO Shinji,NAKANO Shinji,NAKANO Shinji,DAKIN Sam,NAKANO Shinji,NAKANO Shinji,DERACHE Tom,
2025 Konya NC,15/03/2025,F,2,5,SAHROM Muhammad Shah Firdaus,DAKIN Sam,BARBER Daniel,BARBER Daniel,SAHROM Muhammad Shah Firdaus,NAKANO Shinji,DAKIN Sam,DAKIN Sam,DAKIN Sam,
2025 Konya NC,15/03/2025,F,2,6,DAKIN Sam,SAHROM Muhammad Shah Firdaus,SAHROM Muhammad Shah Firdaus,SAHROM Muhammad Shah Firdaus,BARBER Daniel,BARBER Daniel,BARBER Daniel,BARBER Daniel,BARBER Daniel,
2025 Konya NC,15/03/2025,R1,2,1,MARASAS Mateo Nicolas,MARASAS Mateo Nicolas,MARASAS Mateo Nicolas,MARASAS Mateo Nicolas,MARASAS Mateo Nicolas,NAKANO Shinji,NAKANO Shinji,NAKANO Shinji,NAKANO Shinji,
2025 Konya NC,15/03/2025,R1,2,2,DORNBACH Maximilian,DORNBACH Maximilian,DORNBACH Maximilian,DORNBACH Maximilian,DORNBACH Maximilian,DORNBACH Maximilian,DORNBACH Maximilian,DODYK Ryan,DODYK Ryan,
2025 Konya NC,15/03/2025,R1,2,3,DANYLCHUK Bohdan,DANYLCHUK Bohdan,DANYLCHUK Bohdan,DANYLCHUK Bohdan,DANYLCHUK Bohdan,DODYK Ryan,DODYK Ryan,DORNBACH Maximilian,DORNBACH Maximilian,
2025 Konya NC,15/03/2025,R1,2,4,BARBER Daniel,KOOL Daan,KOOL Daan,KOOL Daan,KOOL Daan,MARASAS Mateo Nicolas,KOOL Daan,KOOL Daan,KOOL Daan,
2025 Konya NC,15/03/2025,R1,2,5,KOOL Daan,BARBER Daniel,BARBER Daniel,BARBER Daniel,DODYK Ryan,KOOL Daan,MARASAS Mateo Nicolas,MARASAS Mateo Nicolas,MARASAS Mateo Nicolas,
2025 Konya NC,15/03/2025,R1,2,6,DODYK Ryan,DODYK Ryan,DODYK Ryan,DODYK Ryan,NAKANO Shinji,DANYLCHUK Bohdan,DANYLCHUK Bohdan,DANYLCHUK Bohdan,DANYLCHUK Bohdan,
2025 Konya NC,15/03/2025,R1,2,7,NAKANO Shinji,NAKANO Shinji,NAKANO Shinji,NAKANO Shinji,BARBER Daniel,BARBER Daniel,BARBER Daniel,BARBER Daniel,BARBER Daniel,
2025 Konya NC,15/03/2025,R1,3,1,YUNG Tsun Ho,YUNG Tsun Ho,YUNG Tsun Ho,PHILLIP Njisane,PHILLIP Njisane,YAMASAKI Kento,YAMASAKI Kento,YAMASAKI Kento,SAHROM Muhammad Shah Firdaus,
2025 Konya NC,15/03/2025,R1,3,2,YAMASAKI Kento,YAMASAKI Kento,PHILLIP Njisane,YUNG Tsun Ho,YUNG Tsun Ho,DENYSENKO Vladyslav,DENYSENKO Vladyslav,SAHROM Muhammad Shah Firdaus,YAMASAKI Kento,
2025 Konya NC,15/03/2025,R1,3,3,PHILLIP Njisane,DENYSENKO Vladyslav,YAMASAKI Kento,YAMASAKI Kento,YAMASAKI Kento,PHILLIP Njisane,ESOW Esow,DENYSENKO Vladyslav,DENYSENKO Vladyslav,
2025 Konya NC,15/03/2025,R1,3,4,ESOW Esow,PHILLIP Njisane,DENYSENKO Vladyslav,DENYSENKO Vladyslav,DENYSENKO Vladyslav,YUNG Tsun Ho,SAHROM Muhammad Shah Firdaus,ESOW Esow,ESOW Esow,
2025 Konya NC,15/03/2025,R1,3,5,del MEDICO Fabio,ESOW Esow,ESOW Esow,ESOW Esow,del MEDICO Fabio,ESOW Esow,PHILLIP Njisane,del MEDICO Fabio,del MEDICO Fabio,
2025 Konya NC,15/03/2025,R1,3,6,DENYSENKO Vladyslav,del MEDICO Fabio,del MEDICO Fabio,del MEDICO Fabio,ESOW Esow,SAHROM Muhammad Shah Firdaus,del MEDICO Fabio,PHILLIP Njisane,PHILLIP Njisane,
2025 Konya NC,15/03/2025,R1,3,7,SAHROM Muhammad Shah Firdaus,SAHROM Muhammad Shah Firdaus,SAHROM Muhammad Shah Firdaus,SAHROM Muhammad Shah Firdaus,SAHROM Muhammad Shah Firdaus,del MEDICO Fabio,YUNG Tsun Ho,YUNG Tsun Ho,YUNG Tsun Ho,
2025 Konya NC,15/03/2025,R1,4,1,VIGIER Sebastien,VIGIER Sebastien,LI Zhiwei,MOHD ZONIS Muhammad Fadh,MOHD ZONIS Muhammad Fadh,MOHD ZONIS Muhammad Fadh,VIGIER Sebastien,VIGIER Sebastien,VIGIER Sebastien,
2025 Konya NC,15/03/2025,R1,4,2,MOHD ZONIS Muhammad Fadh,MOHD ZONIS Muhammad Fadh,VIGIER Sebastien,LI Zhiwei,LI Zhiwei,LI Zhiwei,MOHD ZONIS Muhammad Fadh,TAMME Matej,TAMME Matej,
2025 Konya NC,15/03/2025,R1,4,3,HOFFMAN Leigh,LI Zhiwei,MOHD ZONIS Muhammad Fadh,VIGIER Sebastien,VIGIER Sebastien,HOFFMAN Leigh,TAMME Matej,SINGH LAITONJAM Ronaldo,SINGH LAITONJAM Ronaldo,
2025 Konya NC,15/03/2025,R1,4,4,TAMME Matej,HOFFMAN Leigh,HOFFMAN Leigh,HOFFMAN Leigh,HOFFMAN Leigh,VIGIER Sebastien,LI Zhiwei,MOHD ZONIS Muhammad Fadh,MOHD ZONIS Muhammad Fadh,
2025 Konya NC,15/03/2025,R1,4,5,LI Zhiwei,TAMME Matej,TAMME Matej,TAMME Matej,TAMME Matej,TAMME Matej,SINGH LAITONJAM Ronaldo,MUKHTAR Ramazan,MUKHTAR Ramazan,
2025 Konya NC,15/03/2025,R1,4,6,MUKHTAR Ramazan,MUKHTAR Ramazan,SINGH LAITONJAM Ronaldo,SINGH LAITONJAM Ronaldo,SINGH LAITONJAM Ronaldo,SINGH LAITONJAM Ronaldo,MUKHTAR Ramazan,LI Zhiwei,LI Zhiwei,
2025 Konya NC,15/03/2025,R1,4,7,SINGH LAITONJAM Ronaldo,SINGH LAITONJAM Ronaldo,MUKHTAR Ramazan,MUKHTAR Ramazan,MUKHTAR Ramazan,MUKHTAR Ramazan,HOFFMAN Leigh,HOFFMAN Leigh,HOFFMAN Leigh,
2025 Konya NC,15/03/2025,R1,5,1,VINSKAS Laurynas,CECHMAN Martin,CECHMAN Martin,CECHMAN Martin,DAKIN Sam,DAKIN Sam,DAKIN Sam,DAKIN Sam,DAKIN Sam,
2025 Konya NC,15/03/2025,R1,5,2,CECHMAN Martin,VINSKAS Laurynas,VERDUGO OSUNA Edgar,VERDUGO OSUNA Edgar,CECHMAN Martin,MORO Stefano,MORO Stefano,MORO Stefano,MORO Stefano,
2025 Konya NC,15/03/2025,R1,5,3,DAKIN Sam,DAKIN Sam,VINSKAS Laurynas,VINSKAS Laurynas,MORO Stefano,VERDUGO OSUNA Edgar,VERDUGO OSUNA Edgar,VERDUGO OSUNA Edgar,VERDUGO OSUNA Edgar,
