Title,Time,Duration,Action,Instance number
2023 Jakarta NC W Mad,939.420567,0.977433333,Gap,53
2023 Jakarta NC W Mad,956.138,0.34,Gap,54
2023 Jakarta NC W Mad,975.378,0.12,Gap,55
2023 Jakarta NC W Mad,990.419111,0,1,5
2023 Jakarta NC W Mad,994.298,0.2,Gap,56
2023 Jakarta NC W Mad,1012.758,0.14,Gap,57
2023 Jakarta NC W Mad,1031.018,0.02,Gap,58
2023 Jakarta NC W Mad,1043.341689,0,1,6
2023 Jakarta NC W Mad,1047.378,0,Gap,59
2023 Jakarta NC W Mad,1062.838,0,Gap,60
2023 Jakarta NC W Mad,1078.338,0,Gap,61
2023 Jakarta NC W Mad,1086.337811,0,1,7
2023 Jakarta NC W Mad,1094.418,0,Gap,62
2023 Jakarta NC W Mad,1110.038,0.64,Gap,63
2023 Jakarta NC W Mad,1127.218,0.16,Gap,64
2023 Jakarta NC W Mad,1138.559778,0,2,6
2023 Jakarta NC W Mad,1144.258,0.2,Gap,65
2023 Jakarta NC W Mad,1161.658,0,Gap,66
2023 Jakarta NC W Mad,1180.658,0.34,Gap,67
2023 Jakarta NC W Mad,1196.757389,0,2,7
2023 Jakarta NC W Mad,1200.018,0.36,Gap,68
2023 Jakarta NC W Mad,1218.338,0.42,Gap,69
2023 Jakarta NC W Mad,1235.978,0.28,Gap,70
2023 Jakarta NC W Mad,1251.318,1.48,Gap,71
2023 Jakarta NC W Mad,1254.6087,0,9,1
2023 Jakarta NC W Mad,1266.378,2.1,Gap,72
2023 Jakarta NC W Mad,1281.998,2.94,Gap,73
2023 Jakarta NC W Mad,1297.397333,0,9,2
2023 Jakarta NC W Mad,1298.638,3.5,Gap,74
2023 Jakarta NC W Mad,1314.906044,2.951955556,Gap,75
2023 Jakarta NC W Mad,1332.578,1.74,Gap,76
2023 Jakarta NC W Mad,1340.038,0,9,3
2023 Jakarta NC W Mad,1350.958,0.5,Gap,77
2023 Jakarta NC W Mad,1370.258,0.06,Gap,78
2023 Jakarta NC W Mad,1389.978,0,Gap,79
2023 Jakarta NC W Mad,1405.458,0,4,1
2023 Jakarta NC W Mad,1406.518,0.74,Gap,80
2023 Jakarta NC W Mad,1422.338,0.34,Gap,81
2023 Jakarta NC W Mad,1437.398,0.74,Gap,82
2023 Jakarta NC W Mad,1447.718,0,4,2
2023 Jakarta NC W Mad,1454.718,0.26,Gap,83
2023 Jakarta NC W Mad,1472.558,0.4,Gap,84
2023 Jakarta NC W Mad,1491.916567,0.241433333,Gap,85
2023 Jakarta NC W Mad,1510.038667,0,6,2
2023 Jakarta NC W Mad,1511.558,0.42,Gap,86
2023 Jakarta NC W Mad,1530.198,0.42,Gap,87
2023 Jakarta NC W Mad,1548.938,0.32,Gap,88
2023 Jakarta NC W Mad,1566.318,0.28,Gap,89
2023 Jakarta NC W Mad,1583.438,0.42,Gap,90
2023 Jakarta NC W Mad,1588.0432,0,8,1
2023 Jakarta NC W Mad,1600.018,0.64,Gap,91
2023 Jakarta NC W Mad,1614.418,1.02,Gap,92
2023 Jakarta NC W Mad,1631.238,0.56,Gap,93
2023 Jakarta NC W Mad,1637.985256,0,4,3
2023 Jakarta NC W Mad,1648.678,0.6,Gap,94
2023 Jakarta NC W Mad,1667.978,0.52,Gap,95
2023 Jakarta NC W Mad,1687.798,0.7,Gap,96
2023 Jakarta NC W Mad,1707.138,0.74,Gap,97
2023 Jakarta NC W Mad,1712.635911,0,12,2
2023 Jakarta NC W Mad,1726.238,0.68,Gap,98
2023 Jakarta NC W Mad,1744.958,0.12,Gap,99
2023 Jakarta NC W Mad,1761.758,0.56,Gap,100
2023 Jakarta NC W Mad,1777.718,1.06,Gap,101
2023 Jakarta NC W Mad,1779.578633,0,8,2
2023 Jakarta NC W Mad,1793.118,2.143044444,Gap,102
2023 Jakarta NC W Mad,1809.118,1.62,Gap,103
2023 Jakarta NC W Mad,1825.358,1.58,Gap,104
2023 Jakarta NC W Mad,1828.289244,0,5,3
2023 Jakarta NC W Mad,1841.658,1.14,Gap,105
2023 Jakarta NC W Mad,1859.978,0.36,Gap,106
2023 Jakarta NC W Mad,1878.658,0.68,Gap,107
2023 Jakarta NC W Mad,1880.186711,0,5,4
2023 Jakarta NC W Mad,1896.158,0.98,Gap,108
2023 Jakarta NC W Mad,1913.718,0,Gap,109
2023 Jakarta NC W Mad,1931.518,0,Gap,110
2023 Jakarta NC W Mad,1945.939844,0,2,8
2023 Jakarta NC W Mad,1947.418,0.54,Gap,111
2023 Jakarta NC W Mad,1962.298,0.48,Gap,112
2023 Jakarta NC W Mad,1980.198,0.16,Gap,113
2023 Jakarta NC W Mad,1999.938,0.32,Gap,114
2023 Jakarta NC W Mad,2006.030567,0,2,9
2023 Jakarta NC W Mad,2019.998,0.12,Gap,115
2023 Jakarta NC W Mad,2039.078,0.06,Gap,116
2023 Jakarta NC W Mad,2057.418,0,Gap,117
2023 Jakarta NC W Mad,2067.048056,0,1,8
2023 Jakarta NC W Mad,2074.158,0,Gap,118
2023 Jakarta NC W Mad,2089.231922,0,Gap,119
2023 Jakarta NC W Mad,2103.978,0.08,Gap,120
2023 Jakarta NC W Mad,2119.218,1.46,Gap,121
2023 Jakarta NC W Mad,2119.818,0,3,3
2023 Jakarta NC W Mad,2134.458,0.84,Gap,122
