Time,,Speed [km/h],Power [watt],Cadence,Heartrate,Temperature [℃],Altitude [m],L/R Balance(if available) [percentage of right Leg],latitude,longitude
17:47:40,16:47:40,0,399,66,0,30,0,48,0,0
17:47:41,16:47:41,0,353,68,0,30,0,48,0,0
17:47:42,16:47:42,0,297,71,0,30,0,51,0,0
17:47:43,16:47:43,0,153,74,0,30,0,45,0,0
17:47:44,16:47:44,0,46,75,0,30,0,49,0,0
17:47:45,16:47:45,0,4,75,0,30,0,0,0,0
17:47:46,16:47:46,0,10,74,0,30,0,11,0,0
17:47:47,16:47:47,0,84,74,0,30,0,39,0,0
17:47:48,16:47:48,0,144,74,0,30,0,40,0,0
17:47:49,16:47:49,0,277,75,0,30,0,40,0,0
17:47:50,16:47:50,0,209,74,0,30,0,51,0,0
17:47:51,16:47:51,0,188,72,0,30,0,33,0,0
17:47:52,16:47:52,0,299,71,0,30,0,50,0,0
17:47:53,16:47:53,0,278,72,0,30,0,46,0,0
17:47:54,16:47:54,0,225,74,0,30,0,49,0,0
17:47:55,16:47:55,0,153,75,0,30,0,46,0,0
17:47:56,16:47:56,0,123,75,0,30,0,50,0,0
17:47:57,16:47:57,0,83,75,0,30,0,42,0,0
17:47:58,16:47:58,0,36,76,0,30,0,47,0,0
17:47:59,16:47:59,0,33,77,0,30,0,16,0,0
17:48:00,16:48:00,0,74,77,0,30,0,44,0,0
17:48:01,16:48:01,0,93,77,0,30,0,52,0,0
17:48:02,16:48:02,0,89,76,0,30,0,27,0,0
17:48:03,16:48:03,0,246,75,0,30,0,42,0,0
17:48:04,16:48:04,0,329,75,0,30,0,49,0,0
17:48:05,16:48:05,0,246,73,0,30,0,48,0,0
17:48:06,16:48:06,0,273,74,0,30,0,43,0,0
17:48:07,16:48:07,0,249,75,0,30,0,46,0,0
17:48:08,16:48:08,0,209,75,0,30,0,45,0,0
17:48:09,16:48:09,0,87,76,0,30,0,51,0,0
17:48:10,16:48:10,0,2,77,0,30,0,0,0,0
17:48:11,16:48:11,0,9,77,0,30,0,0,0,0
17:48:12,16:48:12,0,8,77,0,30,0,0,0,0
17:48:13,16:48:13,0,23,78,0,30,0,12,0,0
17:48:14,16:48:14,0,70,78,0,30,0,39,0,0
17:48:15,16:48:15,0,204,78,0,30,0,58,0,0
17:48:16,16:48:16,0,165,75,0,30,0,34,0,0
17:48:17,16:48:17,0,281,75,0,30,0,49,0,0
17:48:18,16:48:18,0,298,74,0,30,0,47,0,0
17:48:19,16:48:19,0,279,76,0,30,0,53,0,0
17:48:20,16:48:20,0,274,79,0,30,0,47,0,0
17:48:21,16:48:21,0,1006,88,0,30,0,41,0,0
17:48:22,16:48:22,0,1296,99,0,30,0,50,0,0
17:48:23,16:48:23,0,1298,108,0,30,0,50,0,0
17:48:24,16:48:24,0,1295,113,0,30,0,51,0,0
17:48:25,16:48:25,0,1270,116,0,30,0,50,0,0
17:48:26,16:48:26,0,1228,120,0,30,0,50,0,0
17:48:27,16:48:27,0,837,124,0,30,0,49,0,0
17:48:28,16:48:28,0,857,126,0,30,0,50,0,0
17:48:29,16:48:29,0,780,129,0,30,0,49,0,0
17:48:30,16:48:30,0,815,131,0,30,0,50,0,0
17:48:31,16:48:31,0,820,131,0,30,0,50,0,0
17:48:32,16:48:32,0,819,131,0,30,0,50,0,0
17:48:33,16:48:33,0,741,130,0,30,0,51,0,0
17:48:34,16:48:34,0,564,129,0,30,0,48,0,0
17:48:35,16:48:35,0,665,131,0,30,0,50,0,0
